source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5538502994123709568 117.58278823171015 -38.596195764970055 -2.0787992549888346 0.5189866304698167  18.795023 185.59715 18.39268 17.24154 17.332628 32.749958 0.774717356482429 0.19560325  1.0953709                   0.0064663621450303 0.0630338928135382 0.0333670235145227 117.58278823171015 -38.596195764970055 0.3666579999806005 5538502994123709568 1290.7933346691198 5112.3896  5.354566260012824 3.4865169185587694 3.3908609232061773 6.877377841764947 0.015707292111838304
5538123245999762432 118.3618241238504 -38.45950927948376 -2.686337567614588 0.5411891065152015  19.755377 296.4247 20.916456 15.337941 18.696285 34.61503 0.6292853694197235 0.30107856  1.0372082                   0.0045834146380455 0.0708425778966753 0.0315929090463716 118.3618241238504 -38.45950927948376 0.2590171527210643 5538123245999762432 1589.1041625870307 3321.3923  4.977095048859524 1.967739545030262 3.0236822606894 4.9914218057196615 0.040961363871085586
5538967121173588224 117.62236845126698 -37.74384863793007 -2.1877783648097 1.5569646946666147  20.13258 236.57468 20.657 13.46936 19.345615 19.446537 0.6752353050073676 0.4418169  1.0990293                   0.0053529801678559 0.0806561271123907 0.0559596246029284 117.62236845126698 -37.74384863793007 0.8576375353973694 5538967121173588224 1480.9652169906735 2263.381  0.34033511243803055 1.640085244943014 8.72070035970553 10.360785604648544 0.03013652752023495
5537693062074312704 117.63940501416468 -39.396217273339005 -1.8585368927516503 1.3398807420381955  19.167377 424.66727 19.893326 24.546139 18.399294 55.935184 0.6760818020159274 0.21723174  1.0076128                   0.0037587732978362 0.0443203783851121 0.0197751261422261 117.63940501416468 -39.396217273339005 0.9176660597185342 5537693062074312704 1479.1109552397647 4603.379  0.30817125993574385 9.319286063059014 3.80387787472184 13.123163937780854 0.00934966669223324
5538495091388057984 117.93304058050607 -38.5149564446846 -2.3589718129191297 0.565710423429294  18.98363 395.53793 19.761873 23.820765 17.8853 61.90034 0.6216991417103095 0.16445594 3592.6895 0.9820812                   0.0038892930395258 0.0456647231686829 0.0179426229981951 117.93304058050607 -38.5149564446846 0.0897502044408734 5538495091388057984 1608.4950628192528 6080.6562  6.382554037123356 0.12904998548707558 2.6426004675913446 2.7716504530784203 0.05735857566452775
5538869814401239552 118.05932890574678 -38.50588296596774 -2.6929104127587555 0.4320617179774065  18.646812 623.8397 19.622484 19.229645 17.726711 63.459698 0.7127827759211413 0.12587914 3616.3818 0.98722696                   0.0032589588136639 0.0565304831235862 0.0175215265345697 118.05932890574678 -38.50588296596774 0.0306760133225203 5538869814401239552 1402.9519704761144 7944.1274  0.3662590545090037 2.068243050161314 5.030792773125702 7.099035823287016 0.11324941493898152
5538867138633872896 118.17472825762108 -38.53636121113582 -2.6095531793092928 1.0845310591005572  15.306922 1435.2616 15.587801 70.74158 14.4160595 60.665524 0.7471101645468131 0.02899854  1.1608843                   0.0028572784847328 0.0155994793772088 0.018291787247542 118.17472825762108 -38.53636121113582 0.1014759618705416 5538867138633872896 1338.4906904681002 34484.496  2.5195130855448093 0.979072727025688 0.594241418963935 1.573314145989623 0.39358879558887633
5538866588878335616 118.09290323873526 -38.53306718967094 -2.592984951091851 1.3527389911558425  18.643074 568.535 19.592539 17.254864 17.665838 35.97609 0.7200495558584239 0.14516132 3578.621 0.9872272                   0.0033524285018013 0.0629853184647182 0.0304151100810968 118.09290323873526 -38.53306718967094 0.0374785911794657 5538866588878335616 1388.7933016052298 6888.887  0.67389112754125 0.8105491936715666 4.039081621787178 4.849630815458744 0.23766960590451996
5538093632204467072 118.57061682758624 -38.87418296201928 -2.456922407200089 1.415802983227327  19.767729 295.4604 20.853554 13.688985 18.683495 32.65099 0.7800912847995666 0.3035097  1.0501633                   0.0045929735910909 0.0793636505542333 0.0334668667765913 118.57061682758624 -38.87418296201928 0.5325926761613891 5538093632204467072 1281.901258846823 3294.7876  5.999900203838142 0.028213580041654873 5.2948071643217895 5.323020744363444 0.023164792371412276
5538893148959696384 118.13136165878254 -38.12271596841784 -1.8531878634297247 0.701739221149793  17.932598 915.46027 18.560205 26.114944 17.063103 97.48352 0.7146432952493684 0.09920806  1.1008638                   0.0029997310308368 0.041668803678816 0.0117614079383541 118.13136165878254 -38.12271596841784 0.4172618583636934 5538893148959696384 1399.2994919948962 10079.826  0.4367107947605666 9.495894410354502 0.9945648187926046 10.490459229147106 0.02739483210511868
