source_id ra dec pmra pmdec radial_velocity phot_g_mean_mag phot_g_mean_flux_over_error phot_bp_mean_mag phot_bp_mean_flux_over_error phot_rp_mean_mag phot_rp_mean_flux_over_error parallax parallax_error teff_gspphot ruwe number_of_neighbours number_of_mates g_mean_psf_mag g_mean_psf_mag_error r_mean_psf_mag r_mean_psf_mag_error i_mean_psf_mag i_mean_psf_mag_error z_mean_psf_mag z_mean_psf_mag_error y_mean_psf_mag y_mean_psf_mag_error j_m j_msigcom h_m h_msigcom ks_m ks_msigcom phot_g_mean_mag_error phot_bp_mean_mag_error phot_rp_mean_mag_error coord.ra coord.dec rCenter id distance distance_error PRV PPa PPMra PPMdec PPM membership
5343951592771965184 177.6786912428584 -55.53460075548027 -6.6609640375640975 1.6342244595632045  19.624006 345.71402 20.630205 17.154408 18.587042 62.436504 0.6197052162029374 0.30401647  0.9627416                   0.0041779082214646 0.0633534388856733 0.017795408112564 177.6786912428584 -55.53460075548027 0.1428376524716597 5343951592771965184 1613.6704579109526 3289.2957  6.315242030420753 1.7836299460747174 6.118875910603448 7.902505856678165 0.0066315618262252065
5343753676388764288 178.39081048192782 -55.8181898791731 -6.608979855277767 1.699099332650015  18.69479 697.6119 19.296541 38.271557 17.954014 89.05839 0.4531296709800137 0.15651748 4330.3384 0.9614644                   0.0031644984185586 0.028506150918879 0.0127636656828667 178.39081048192782 -55.8181898791731 0.4402575328151823 5343753676388764288 2206.873802453133 6389.063  0.2932576860835328 0.6869012385898075 3.236614912086022 3.9235161506758294 0.37746289651181403
5343658882188391552 178.05881080671824 -56.04158177157671 -6.420144636552171 2.021122584336178  18.794617 613.6743 19.447483 39.13673 18.088982 88.29195 0.3028271966356516 0.16621765 4337.6235 1.0314301                   0.0032744456242073 0.0278820865746872 0.0128647876103735 178.05881080671824 -56.04158177157671 0.4311051922593815 5343658882188391552 3302.213312112637 6016.208  9.602398206231987 1.0240054525766282 2.4005690376112674 3.4245744901878954 0.01114474979140914
5343856244522831232 177.44950924379864 -55.95409220610226 -6.3381225549576525 2.0231278968774253  20.048565 173.77397 20.784256 11.483201 19.30921 24.582521 0.5085480288276317 0.63426834  1.0763395                   0.0068285457252289 0.0945911206179444 0.0443284056253627 177.44950924379864 -55.95409220610226 0.2995935913473568 5343856244522831232 1966.3826095350807 1576.6198  1.7977265058821084 3.2814083702322576 2.4656174300208593 5.747025800253117 0.10975201943213382
5343913075521535360 176.81849844188577 -55.68866803484056 -6.209171641415912 1.7458357832729636  20.371658 188.68597 21.160404 9.964743 19.414106 18.818718 0.4308036394635627 0.5853812  0.9930721                   0.0063798564850665 0.1089934958239064 0.0578181381992238 176.81849844188577 -55.68866803484056 0.4690491818559405 5343913075521535360 2321.243156731919 1708.2885  0.026060245036592766 9.415401370424856 1.724200691713934 11.13960206213879 0.024763951934095522
5343872767238222976 177.10995873832962 -55.49684021897731 -6.611178426672205 2.0486690018817715  19.847599 320.8439 20.68714 14.204883 18.99607 33.77846 0.4101943135302343 0.40038094  1.0435483                   0.004363857771779 0.0764849241767977 0.0323642840933919 177.10995873832962 -55.49684021897731 0.3542724989384109 5343872767238222976 2437.8689977287863 2497.6213  0.05115211036477668 0.7228847115136925 3.3701907954450134 4.093075506958706 0.38683851498646554
5343865281133895808 177.41588756966308 -55.7738878890498 -6.641971134827062 2.164101802828206  19.217876 456.84143 20.039213 24.199226 18.263468 81.04622 0.3969947021110266 0.21228857  0.9946216                   0.0036386932195779 0.0449532407870216 0.0139194150543508 177.41588756966308 -55.7738878890498 0.163985689469817 5343865281133895808 2518.9253022332077 4710.569  0.24557467830772817 1.3233907366090545 9.21785502610903 10.541245762718084 0.029067271930677478
5343980862986361600 177.99170374801827 -55.34973863398951 -6.659197415698852 2.009373866893021  18.573214 785.7453 19.050129 42.373375 17.930103 66.92101 0.3524289023834646 0.13536339 4745.377 1.0549206                   0.0030823914824765 0.0257745430667459 0.0166585294094195 177.99170374801827 -55.34973863398951 0.3797116104269851 5343980862986361600 2837.451733490171 7387.522  2.415418500110751 1.7379292050774007 2.0369352606225246 3.7748644656999253 0.1853813515173227
5343842225730161408 177.75118997387295 -56.11173046798131 -6.396165134625855 1.9086705618854456  19.904648 299.19345 20.650652 14.702855 19.003695 38.912598 0.5507492479648363 0.36498645  0.9573701                   0.0045563732298546 0.073897956258884 0.0281567201966861 177.75118997387295 -56.11173046798131 0.4388700190130709 5343842225730161408 1815.7083349550885 2739.8276  3.3913126452578912 1.5517155810066023 0.14446639541531428 1.6961819764219166 0.2784372438723834
5343855041914014080 177.59415636380947 -55.72753701144495 -6.55456615274665 2.231774362566615  19.423744 406.75217 20.129591 19.606346 18.455236 64.04174 0.4034778059934233 0.25406522  1.0242013                   0.0038362553844552 0.0554470213979794 0.0173697237340744 177.59415636380947 -55.72753701144495 0.0599933159702789 5343855041914014080 2478.4510700355595 3935.9976  0.13035047510948303 0.08903154995913314 13.985800865829303 14.074832415788435 0.006668185444277913
